,시군,지진위험도,태풍위험도
58,충주시,0.1338930604998015,0.37209164912565684
59,제천시,0.18569912823573084,-0.4186954640887522
60,보은군,0.20122511539038088,-0.4186954640887522
61,옥천군,0.2545249277754473,0.37209164912565684
62,영동군,0.18495225591116235,0.532135230786902
63,증평군,-0.225015052028862,-0.4186954640887522
64,진천군,-0.225015052028862,0.9921620583888182
65,괴산군,-0.225015052028862,-0.4186954640887522
66,음성군,-0.225015052028862,-0.4186954640887522
67,단양군,0.116126456371446,0.0721084031849859
68,천안시,-0.225015052028862,0.532135230786902
69,공주시,0.3063309955113767,0.532135230786902
70,보령시,0.37216930575281904,0.0721084031849859
71,아산시,-0.225015052028862,-0.4186954640887522
72,서산시,0.15091279230358845,0.9921620583888182
73,논산시,0.1338930604998015,0.0721084031849859
74,계룡시,-0.225015052028862,-0.4186954640887522
75,당진시,0.133146188175233,-0.4186954640887522
76,금산군,0.30483725086223973,-0.4186954640887522
77,부여군,-0.225015052028862,0.532135230786902
78,서천군,-0.225015052028862,-0.4186954640887522
79,청양군,0.15016591997901996,-0.4186954640887522
80,홍성군,-0.225015052028862,0.532135230786902
81,예산군,-0.225015052028862,-0.4186954640887522
82,태안군,0.15016591997901996,-0.4186954640887522
83,전주시,-0.225015052028862,0.532135230786902
84,군산시,0.20122511539038088,-0.4186954640887522
85,익산시,0.440248232967967,0.532135230786902
86,정읍시,-0.225015052028862,-0.4186954640887522
87,남원시,0.116126456371446,-0.4186954640887522
88,김제시,0.133146188175233,-0.4186954640887522
89,완주군,0.2545249277754473,-0.4186954640887522
90,진안군,0.116126456371446,-0.4186954640887522
91,무주군,0.441741977617104,-0.4186954640887522
92,장수군,0.2537780554508788,-0.4186954640887522
93,임실군,-0.225015052028862,0.0721084031849859
94,순창군,0.133146188175233,-0.4186954640887522
95,고창군,-0.225015052028862,0.532135230786902
96,부안군,0.133146188175233,0.532135230786902
97,목포시,-0.225015052028862,-0.4186954640887522
98,여수시,0.133146188175233,0.9921620583888182
99,순천시,-0.225015052028862,0.8013414370557511
100,나주시,-0.225015052028862,-0.4186954640887522
101,광양시,0.23601145132252332,-0.4186954640887522
102,담양군,-0.225015052028862,-0.4186954640887522
103,곡성군,0.116126456371446,0.9921620583888182
104,구례군,0.2870706467338842,-0.4186954640887522
105,고흥군,0.18420538358659386,0.579743776050862
106,보성군,0.33887671446981366,-0.4186954640887522
107,화순군,-0.225015052028862,1.0229390980606403
108,장흥군,-0.225015052028862,-0.4186954640887522
109,강진군,-0.225015052028862,-0.4186954640887522
110,해남군,0.3063309955113767,0.6552433894741898
111,영암군,0.16718565178280692,0.532135230786902
112,무안군,-0.225015052028862,-0.4186954640887522
113,함평군,-0.225015052028862,0.532135230786902
114,영광군,-0.225015052028862,-0.4186954640887522
115,장성군,-0.225015052028862,-0.4186954640887522
116,완도군,-0.225015052028862,-0.4186954640887522
117,진도군,0.16718565178280692,-0.4186954640887522
118,신안군,-0.225015052028862,0.5629122704587239
119,포항시,0.7762064210781687,-0.4186954640887522
120,경주시,0.9219600700484397,0.532135230786902
121,김천시,0.29379249765500065,0.532135230786902
122,안동시,0.3078247401605137,0.0721084031849859
123,구미시,0.18495225591116235,-0.4186954640887522
124,영주시,0.15091279230358845,-0.4186954640887522
125,영천시,0.20122511539038088,-0.4186954640887522
126,상주시,0.4499575731873574,1.0229390980606403
127,문경시,0.22197920881701033,0.0721084031849859
128,경산시,-0.225015052028862,0.9921620583888182
129,군위군,0.23526457899795483,-0.4186954640887522
130,의성군,0.1701731410810809,-0.4186954640887522
131,청송군,-0.225015052028862,-0.4186954640887522
132,영양군,0.27005091493009725,0.9921620583888182
133,영덕군,0.20197198771494937,-0.4186954640887522
134,청도군,0.20122511539038088,0.9921620583888182
135,고령군,0.21824484719416787,0.9921620583888182
136,성주군,0.1168733286960145,-0.4186954640887522
137,칠곡군,0.18420538358659386,1.0229390980606403
138,예천군,0.18793974520943632,-0.4186954640887522
139,봉화군,0.1168733286960145,0.641297855394506
140,울진군,0.20122511539038088,0.8321184767275731
141,울릉군,-0.225015052028862,-0.4186954640887522
142,창원시,0.18569912823573084,-0.4186954640887522
143,진주시,0.2870706467338842,1.0537161377324622
144,통영시,-0.225015052028862,-0.4186954640887522
145,사천시,0.15016591997901996,0.9921620583888182
146,김해시,-0.225015052028862,-0.4186954640887522
147,밀양시,0.375156795051093,0.532135230786902
148,거제시,-0.225015052028862,-0.4186954640887522
149,양산시,-0.225015052028862,1.17682429641975
150,의령군,0.21824484719416787,-0.4186954640887522
151,함안군,0.21899171951873636,0.9921620583888182
152,창녕군,0.35664331859816917,0.9921620583888182
153,고성군_경남,0.133146188175233,-0.4186954640887522
154,남해군,-0.225015052028862,-0.4186954640887522
155,하동군,0.20197198771494937,-0.4186954640887522
156,산청군,0.23526457899795483,-0.4186954640887522
157,함양군,-0.225015052028862,-0.4186954640887522
158,거창군,0.37291617807738753,0.610520815722684
159,합천군,0.22048546416787335,-0.4186954640887522
160,제주시,0.21899171951873636,-0.4186954640887522
161,서귀포시,0.21824484719416787,-0.4186954640887522
